,Image Name,Prediction
0,WWNP-HQ_20190219_202455.wav at 3.752676.png,2
1,WWNP-HQ_20190219_191303.wav at 6.116613.png,0
2,WWNP-HQ_20190218_201038.wav at 3.209921.png,2
3,WWNP-HQ_20190218_222404.wav at 3.4822699999999998.png,2
4,WWNP-HQ_20190219_215105.wav at 0.182567.png,2
5,WWNP-HQ_20190219_213743.wav at 0.9661280000000001.png,1
6,WWNP-HQ_20190219_205659.wav at 1.8914240000000002.png,1
7,WWNP-HQ_20190219_222030.wav at 3.116218.png,2
8,WWNP-HQ_20190219_191147.wav at 2.3056.png,1
9,WWNP-HQ_20190219_215048.wav at 6.632047999999999.png,2
10,WWNP-HQ_20190219_224025.wav at 9.663943.png,1
11,WWNP-HQ_20190218_222404.wav at 3.2714060000000003.png,2
12,WWNP-HQ_20190219_200726.wav at 6.335451.png,2
13,WWNP-HQ_20190218_210037.wav at 2.0632759999999997.png,1
14,WWNP-HQ_20190219_223411.wav at 5.473512.png,2
15,WWNP-HQ_20190219_194130.wav at 10.150076.png,2
16,WWNP-HQ_20190219_221742.wav at 8.254319.png,2
17,WWNP-HQ_20190219_184300.wav at 2.715419.png,1
18,WWNP-HQ_20190219_213743.wav at 3.6368379999999996.png,1
19,WWNP-HQ_20190219_191227.wav at 7.293866.png,2
20,WWNP-HQ_20190219_184700.wav at 1.320495.png,2
21,WWNP-HQ_20190219_191227.wav at 1.3233059999999999.png,0
22,WWNP-HQ_20190218_201257.wav at 9.78552.png,1
23,WWNP-HQ_20190219_215847.wav at 5.2400199999999995.png,2
24,WWNP-HQ_20190219_221742.wav at 7.652145.png,2
25,WWNP-HQ_20190219_215048.wav at 7.798421.png,2
26,WWNP-HQ_20190219_200709.wav at 5.409274.png,2
27,WWNP-HQ_20190219_202455.wav at 3.95934.png,1
28,WWNP-HQ_20190218_222404.wav at 4.955649.png,1
29,WWNP-HQ_20190219_190644.wav at 3.342802.png,0
30,WWNP-HQ_20190219_215847.wav at 7.427846000000001.png,2
31,WWNP-HQ_20190219_221556.wav at 1.62634.png,1
32,WWNP-HQ_20190219_215105.wav at 0.5176689999999999.png,2
33,WWNP-HQ_20190219_224458.wav at 9.791841.png,2
34,WWNP-HQ_20190219_213459.wav at 5.729835.png,1
35,WWNP-HQ_20190219_203511.wav at 3.089363.png,0
36,WWNP-HQ_20190219_213743.wav at 1.73735.png,1
37,WWNP-HQ_20190219_215105.wav at 2.101538.png,2
38,WWNP-HQ_20190219_191303.wav at 4.6910620000000005.png,0
39,WWNP-HQ_20190218_201038.wav at 1.962331.png,2
40,WWNP-HQ_20190219_184510.wav at 12.435081.png,2
41,WWNP-HQ_20190219_200709.wav at 5.292412000000001.png,2
42,WWNP-HQ_20190219_200726.wav at 5.522854.png,2
43,WWNP-HQ_20190219_191319.wav at 11.141209.png,0
44,WWNP-HQ_20190219_215847.wav at 6.813637.png,2
45,WWNP-HQ_20190219_223411.wav at 6.260562999999999.png,2
46,WWNP-HQ_20190219_184700.wav at 1.8500590000000001.png,2
47,WWNP-HQ_20190219_191432.wav at 1.593842.png,0
48,WWNP-HQ_20190219_224458.wav at 8.85477.png,2
49,WWNP-HQ_20190219_202649.wav at 4.5472209999999995.png,2
50,WWNP-HQ_20190219_215105.wav at 0.697851.png,2
51,WWNP-HQ_20190219_191354.wav at 5.822979.png,0
52,WWNP-HQ_20190219_224458.wav at 9.468275.png,0
53,WWNP-HQ_20190219_191408.wav at 2.048235.png,0
54,WWNP-HQ_20190219_223411.wav at 7.48373.png,1
55,WWNP-HQ_20190218_204517.wav at 5.413051.png,1
56,WWNP-HQ_20190219_213743.wav at 2.505688.png,1
57,WWNP-HQ_20190219_202455.wav at 2.6701490000000003.png,1
58,WWNP-HQ_20190219_221545.wav at 2.584827.png,1
59,WWNP-HQ_20190219_183456.wav at 11.553734.png,2
60,WWNP-HQ_20190219_213743.wav at 2.10886.png,1
61,WWNP-HQ_20190219_224458.wav at 7.583837.png,2
62,WWNP-HQ_20190219_184300.wav at 2.601324.png,1
63,WWNP-HQ_20190219_223411.wav at 7.044169.png,1
64,WWNP-HQ_20190219_221714.wav at 5.874197000000001.png,2
65,WWNP-HQ_20190219_224025.wav at 8.580663000000001.png,1
66,WWNP-HQ_20190219_191354.wav at 4.081564.png,0
67,WWNP-HQ_20190219_191227.wav at 12.149833000000001.png,0
68,WWNP-HQ_20190219_224025.wav at 10.488131.png,1
69,WWNP-HQ_20190219_215048.wav at 9.088716.png,2
